Country	Inflation difference	Exchange rate change	Developed
Australia	-1.235100000e+000	-3.187000000e+000	1.000000000e+000
Austria	1.550800000e+000	1.478100000e+000	1.000000000e+000
Belgium	1.037100000e+000	3.950000000e-002	1.000000000e+000
Canada	4.610000000e-002	-1.641600000e+000	1.000000000e+000
Chile	-1.841260000e+001	-2.063290000e+001	0.000000000e+000
Colombia	-1.623440000e+001	-1.743700000e+001	0.000000000e+000
Costa Rica	-1.208950000e+001	-1.479050000e+001	0.000000000e+000
Cyprus	-1.416000000e-001	-1.482300000e+000	0.000000000e+000
Denmark	-3.010000000e-001	-6.776000000e-001	1.000000000e+000
Ecuador	-2.147860000e+001	-2.340810000e+001	0.000000000e+000
Egypt	-8.269600000e+000	-9.819300000e+000	0.000000000e+000
Finland	-6.245000000e-001	-1.631100000e+000	1.000000000e+000
France	-4.412000000e-001	-1.392600000e+000	1.000000000e+000
Germany	2.120900000e+000	1.447000000e+000	1.000000000e+000
Ghana	-3.125550000e+001	-3.254760000e+001	0.000000000e+000
Greece	-9.402600000e+000	-9.677900000e+000	1.000000000e+000
India	-2.467400000e+000	-7.263400000e+000	0.000000000e+000
Indonesia	-5.950100000e+000	-1.384160000e+001	0.000000000e+000
Iran	-1.356110000e+001	-1.482750000e+001	0.000000000e+000
Ireland	-1.824000000e+000	-1.928900000e+000	1.000000000e+000
Italy	-3.658800000e+000	-4.276000000e+000	1.000000000e+000
Japan	2.357200000e+000	3.558000000e+000	1.000000000e+000
Korea	-3.077100000e+000	-4.630600000e+000	0.000000000e+000
Mexico	-2.727240000e+001	-2.867060000e+001	0.000000000e+000
Morocco	-1.757200000e+000	-3.926400000e+000	0.000000000e+000
Netherlands	1.862900000e+000	1.045100000e+000	1.000000000e+000
New Zealand	-3.019100000e+000	-3.555200000e+000	1.000000000e+000
Norway	-6.799000000e-001	-1.608100000e+000	1.000000000e+000
Panama	2.340700000e+000	0.000000000e+000	0.000000000e+000
Philippines	-6.268100000e+000	-7.523700000e+000	0.000000000e+000
Portugal	-7.943800000e+000	-8.500900000e+000	1.000000000e+000
Singapore	2.481800000e+000	1.575400000e+000	0.000000000e+000
Spain	-3.947800000e+000	-4.153700000e+000	1.000000000e+000
Sri Lanka	-5.593600000e+000	-9.675200000e+000	0.000000000e+000
Sweden	-1.248400000e+000	-2.836000000e+000	1.000000000e+000
Switzerland	2.349300000e+000	2.503700000e+000	1.000000000e+000
Thailand	-6.921000000e-001	-3.080000000e+000	0.000000000e+000
United Kingdom	-1.750200000e+000	-1.276800000e+000	1.000000000e+000
Uruguay	-3.796350000e+001	-3.632730000e+001	0.000000000e+000
Venezuela	-2.044810000e+001	-2.102520000e+001	0.000000000e+000
